StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q38,Q39,Q37,Q40,Q36,Q3,Q4,Q5,Q6,Q7,8B,9B,10B,11B,12B,13B,14B,15B,16B,17B,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,SC0
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"Thank you for participating in this survey - we greatly appreciate it! The survey should take less than 10 minutes to complete. 



The first series of questions are solely for data analysis purposes. We will not collect any personally identifiable information and the survey is completely anonymous.





Which gender do you identify with?",Are you a registered voter?,Did you vote in the 2012 election?,Did you vote in the 2016 election?,What is your marital status ?,What is your primary language of communication?,What is your annual household income?,What is your age group?,What is your politicial affiliation?,What is your highest level of education?,What ethnicity do you identify as?,Do you consider yourself to be active on social media platforms?,"Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media. 



 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media. 









 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?",Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Score
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID46""}","{""ImportId"":""QID49""}","{""ImportId"":""QID45""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID18""}","{""ImportId"":""QID14""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""SC_0HSbxnqpbvZl5m5""}"
2020-07-26 10:25:44,2020-07-26 10:28:53,IP Address,67.164.33.244,100,189,True,2020-07-26 10:28:53,R_br5IvDCZR513btD,,,,,37.250701904296875,-121.83599853515625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Single,English,$60000 - $150000,21-40,Democrat,Graduate degree,Asian,Yes,,,,,,,,,,,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,8
2020-07-26 10:25:35,2020-07-26 10:30:30,IP Address,24.0.92.149,100,295,True,2020-07-26 10:30:30,R_82OaBXS2FJSl7RD,,,,,40.43060302734375,-74.40200042724609375,anonymous,EN,0.6999999999999999555910790149937383830547332763671875,Male,No,No,No,Married,English,$150000 - $250000,21-40,Democrat,College degree,Asian,Yes,No,No,No,Yes,No,No,Yes,No,No,No,,,,,,,,,,,7
2020-07-26 10:44:18,2020-07-26 10:50:52,IP Address,24.21.121.141,100,394,True,2020-07-26 10:50:53,R_s5yhDV8qLtb49Yl,,,,,45.4998016357421875,-122.9586029052734375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,No,No,No,Married,English,> $250000,21-40,Democrat,Graduate degree,Other,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,,9
2020-07-26 10:52:22,2020-07-26 10:57:44,IP Address,71.202.19.29,100,321,True,2020-07-26 10:57:44,R_28FAYlzE0865fWy,,,,,37.3511962890625,-121.8845977783203125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,No,No,No,Married,English,> $250000,21-40,Other,Graduate degree,Asian,Yes,,,,,,,,,,,Yes,Yes,No,Yes,No,No,No,No,No,No,8
2020-07-26 10:59:30,2020-07-26 11:06:49,IP Address,66.90.203.59,100,439,True,2020-07-26 11:06:50,R_3ku2YpdP2aebOJV,,,,,31.068206787109375,-97.391998291015625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Married,English,$150000 - $250000,21-40,Republican,Graduate degree,Caucasian,Yes,,,,,,,,,,,Yes,Yes,No,Yes,Yes,No,No,No,No,No,7
2020-07-26 11:08:33,2020-07-26 11:12:13,IP Address,162.203.155.234,100,219,True,2020-07-26 11:12:13,R_3MKAQf8pv7i1YIv,,,,,34.0469970703125,-118.27500152587890625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,No,No,No,Single,English,$60000 - $150000,21-40,Other,College degree,Other,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,,,,,,,,,,,8
2020-07-26 11:30:59,2020-07-26 11:33:21,IP Address,70.172.156.171,100,141,True,2020-07-26 11:33:21,R_3G1Ee98fimQNLd2,,,,,41.686798095703125,-72.72480010986328125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,No,No,No,Married,English,$60000 - $150000,21-40,Other,Graduate degree,Asian,No,,,,,,,,,,,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,10
2020-07-26 11:56:49,2020-07-26 11:59:59,IP Address,73.202.175.39,100,190,True,2020-07-26 11:59:59,R_2zIyhHbTsp0Jt0l,,,,,37.795806884765625,-122.4203033447265625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Single,English,$150000 - $250000,21-40,Democrat,Graduate degree,Caucasian,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,,9
2020-07-26 12:13:30,2020-07-26 12:16:54,IP Address,73.202.203.132,100,203,True,2020-07-26 12:16:54,R_XAKN65A0WVAAze1,,,,,37.3209075927734375,-121.91259765625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,No,No,Seperated,English,> $250000,41-60,Other,Graduate degree,Asian,Yes,,,,,,,,,,,No,No,No,Yes,Yes,No,Yes,Yes,No,No,7
2020-07-26 12:30:00,2020-07-26 12:34:09,IP Address,76.102.140.168,100,248,True,2020-07-26 12:34:09,R_1jBZ3r3M92WpCMU,,,,,37.5890045166015625,-122.0460968017578125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,No,No,No,Married,English,> $250000,21-40,Democrat,Graduate degree,Asian,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,,,,,,,,,,,8
2020-07-26 12:55:04,2020-07-26 12:58:01,IP Address,76.102.140.168,100,177,True,2020-07-26 12:58:01,R_272VWzwMcZV4qzq,,,,,37.5890045166015625,-122.0460968017578125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,No,No,No,Married,English,> $250000,21-40,Democrat,Graduate degree,Asian,Yes,,,,,,,,,,,No,Yes,No,Yes,No,No,Yes,No,No,No,8
