StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q38,Q39,Q37,Q40,Q36,Q3,Q4,Q5,Q6,Q7,8B,9B,10B,11B,12B,13B,14B,15B,16B,17B,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,SC0
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"Thank you for participating in this survey - we greatly appreciate it! The survey should take less than 10 minutes to complete. 



The first series of questions are solely for data analysis purposes. We will not collect any personally identifiable information and the survey is completely anonymous.





Which gender do you identify with?",Are you a registered voter?,Did you vote in the 2012 election?,Did you vote in the 2016 election?,What is your marital status ?,What is your primary language of communication?,What is your annual household income?,What is your age group?,What is your politicial affiliation?,What is your highest level of education?,What ethnicity do you identify as?,Do you consider yourself to be active on social media platforms?,"Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media. 



 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media. 









 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?",Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Score
7/24/20 22:43,7/24/20 22:45,IP Address,99.75.53.174,100,124,True,7/24/20 22:45,R_3wSF9NPrJQkHDjj,,,,,42.02209473,-88.17050171,anonymous,EN,0.9,Male,No,No,No,Single,English,< $60000,21-40,Other,Some college,Asian,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,,9
7/24/20 22:43,7/24/20 22:45,IP Address,68.33.126.140,100,112,True,7/24/20 22:45,R_2wHbTKc7249gZQY,,,,,38.86700439,-76.81729889,anonymous,EN,0.9,Female,Yes,Yes,Yes,Married,English,$150000 - $250000,21-40,Democrat,Graduate degree,Caucasian,Yes,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,3
7/24/20 22:43,7/24/20 22:45,IP Address,98.19.217.229,100,99,True,7/24/20 22:45,R_2Et95GjQbJ9BgaR,,,,,34.45120239,-84.15299988,anonymous,EN,0.7,Female,Yes,Yes,Yes,Married,English,$60000 - $150000,21-40,Republican,College degree,Hispanic / Latinx,Yes,,,,,,,,,,,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,5
7/24/20 22:43,7/24/20 22:45,IP Address,174.85.199.139,100,142,True,7/24/20 22:45,R_3LimuwbiSdyNO53,,,,,34.34539795,-86.27400208,anonymous,EN,0.9,Female,Yes,Yes,Yes,Married,English,< $60000,21-40,Other,Some college,Caucasian,Yes,,,,,,,,,,,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,8
7/24/20 22:43,7/24/20 22:45,IP Address,209.159.199.248,100,152,True,7/24/20 22:45,R_1rwQr9otPszxd5D,,,,,44.14149475,-103.2052002,anonymous,EN,0.9,Male,Yes,Yes,Yes,Single,English,< $60000,21-40,Other,High school graduate,Caucasian,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,,,,,,,,,,,7
7/24/20 22:43,7/24/20 22:46,IP Address,68.63.20.188,100,136,True,7/24/20 22:46,R_4Jyqc4Ld2c4PwMF,,,,,30.49079895,-84.31580353,anonymous,EN,0.9,Male,Yes,Yes,Yes,Single,English,< $60000,21-40,Democrat,College degree,Caucasian,Yes,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,6
7/24/20 22:43,7/24/20 22:46,IP Address,24.13.196.131,100,172,True,7/24/20 22:46,R_33jTNIqQiSmFSX3,,,,,42.18449402,-88.32659912,anonymous,EN,0.9,Male,Yes,Yes,Yes,Married,English,$60000 - $150000,41-60,Republican,College degree,Caucasian,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,,,,,,,,,,,6
7/24/20 22:43,7/24/20 22:46,IP Address,67.149.68.150,100,170,True,7/24/20 22:46,R_32Xc1Hk8QC8jQWq,,,,,40.04570007,-83.07209778,anonymous,EN,0.9,Male,Yes,Yes,Yes,Single,English,< $60000,21-40,Democrat,Some college,Caucasian,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,,,,,,,,,,,7
7/24/20 22:43,7/24/20 22:46,IP Address,181.215.29.243,100,186,True,7/24/20 22:46,R_2w4gaZsuQaSZLgx,,,,,38.96960449,-77.38610077,anonymous,EN,0.9,Female,Yes,Yes,Yes,Married,English,< $60000,21-40,Republican,Graduate degree,Native American,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,,,,,,,,,,,5
7/24/20 22:43,7/24/20 22:47,IP Address,72.231.23.235,100,243,True,7/24/20 22:47,R_25sWOGcEcdNb0kK,,,,,40.67579651,-73.81629944,anonymous,EN,0.9,Male,Yes,Yes,Yes,Married,English,$60000 - $150000,21-40,Republican,Graduate degree,Black / African,Yes,,,,,,,,,,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,5
7/24/20 22:45,7/24/20 22:47,IP Address,73.103.37.34,100,134,True,7/24/20 22:47,R_21vL1jQdmGj37BA,,,,,40.39900208,-86.85749817,anonymous,EN,0.7,Female,Yes,Yes,Yes,Married,English,$60000 - $150000,21-40,Republican,Graduate degree,Caucasian,Yes,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4
7/24/20 22:44,7/24/20 22:47,IP Address,72.214.170.135,100,200,True,7/24/20 22:47,R_WrD2Ix76cjYieCR,,,,,39.36439514,-94.36340332,anonymous,EN,0.9,Male,Yes,Yes,Yes,Married,English,$60000 - $150000,21-40,Republican,College degree,Caucasian,Yes,,,,,,,,,,,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,7
7/24/20 22:45,7/24/20 22:47,IP Address,208.82.99.28,100,151,True,7/24/20 22:47,R_2OUqKHFdeUGVzlg,,,,,37.32090759,-121.9125977,anonymous,EN,0.9,Male,Yes,Yes,Yes,Married,English,< $60000,21-40,Republican,Graduate degree,Asian,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,,,,,,,,,5
7/24/20 22:44,7/24/20 22:47,IP Address,105.160.50.141,100,205,True,7/24/20 22:47,R_2EfXzK6zFGA1TBg,,,,,-1.284103394,36.81550598,anonymous,EN,0.7,Male,Yes,Yes,Yes,Married,English,$60000 - $150000,21-40,Democrat,Graduate degree,Black / African,Yes,,,,,,,,,,,Yes,Yes,No,Yes,No,No,No,Yes,No,No,9
7/24/20 22:44,7/24/20 22:47,IP Address,174.65.81.86,100,183,True,7/24/20 22:47,R_2rx8UdM1FPy7qpm,,,,,32.81230164,-116.9171982,anonymous,EN,0.9,Male,No,No,No,Single,English,< $60000,41-60,Other,Some college,Caucasian,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,,10
7/24/20 22:46,7/24/20 22:48,IP Address,71.227.122.29,100,94,True,7/24/20 22:48,R_28XQabY2meI84qv,,,,,42.21960449,-83.604599,anonymous,EN,0.9,Female,Yes,Yes,Yes,Married,English,$150000 - $250000,21-40,Republican,College degree,Caucasian,Yes,,,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4
7/24/20 22:43,7/24/20 22:48,IP Address,72.47.8.241,100,276,True,7/24/20 22:48,R_24eGlort4KbotYf,,,,,47.54310608,-116.1253052,anonymous,EN,0.9,Male,Yes,Yes,Yes,Married,English,$150000 - $250000,21-40,Republican,College degree,Hispanic / Latinx,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
7/24/20 22:45,7/24/20 22:48,IP Address,71.194.220.208,100,188,True,7/24/20 22:48,R_AMUFR8f94ALjVlv,,,,,41.59100342,-88.04840088,anonymous,EN,0.9,Female,Yes,Yes,Yes,Married,English,$60000 - $150000,21-40,Democrat,College degree,Caucasian,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,,,,,,,,3
7/24/20 22:43,7/24/20 22:48,IP Address,71.58.178.210,100,294,True,7/24/20 22:48,R_3I0LXPF124drycK,,,,,41.31469727,-75.79109955,anonymous,EN,0.9,Male,Yes,Yes,Yes,Married,English,$60000 - $150000,41-60,Republican,College degree,Caucasian,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,,,,,,,,3
7/24/20 22:46,7/24/20 22:48,IP Address,73.144.23.102,100,142,True,7/24/20 22:48,R_2AWIfc8RDC0QxeB,,,,,42.46580505,-82.94589996,anonymous,EN,0.7,Female,Yes,Yes,Yes,Married,English,$60000 - $150000,21-40,Democrat,College degree,Caucasian,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
7/24/20 22:45,7/24/20 22:48,IP Address,198.228.83.177,100,191,True,7/24/20 22:48,R_WkWbaQB354W8Edb,,,,,37.75100708,-97.8219986,anonymous,EN,0.9,Male,Yes,Yes,Yes,Married,English,< $60000,21-40,Democrat,College degree,Caucasian,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,5
7/24/20 22:45,7/24/20 22:48,IP Address,24.3.47.213,100,182,True,7/24/20 22:48,R_vog0lgDbUCBtm81,,,,,40.36950684,-80.63480377,anonymous,EN,0.3,Female,Yes,Yes,Yes,Married,English,$60000 - $150000,21-40,Republican,College degree,Caucasian,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,6
7/24/20 22:43,7/24/20 22:48,IP Address,73.229.139.186,100,347,True,7/24/20 22:48,R_3CbD16FFcVJ2xZ7,,,,,40.53770447,-105.0546036,anonymous,EN,0.9,Female,Yes,No,Yes,Married,English,$60000 - $150000,21-40,Democrat,Graduate degree,Caucasian,Yes,,,,,,,,,,,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,8
7/24/20 22:43,7/24/20 22:49,IP Address,73.153.191.15,100,345,True,7/24/20 22:49,R_31F8jqtVfBOOsqh,,,,,39.66670227,-105.0854034,anonymous,EN,0.9,Female,Yes,No,Yes,Married,English,< $60000,41-60,Other,College degree,Caucasian,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,,,,,,,,,,,7
7/24/20 22:43,7/24/20 22:49,IP Address,63.117.151.101,100,358,True,7/24/20 22:49,R_BXHi8wXoNTQe8Wl,,,,,40.78759766,-74.05999756,anonymous,EN,,Female,Yes,Yes,Yes,Married,English,< $60000,41-60,Democrat,College degree,Native American,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,6
7/24/20 22:45,7/24/20 22:49,IP Address,198.228.69.228,100,256,True,7/24/20 22:49,R_3e9oCKyqymJlUHT,,,,,37.75100708,-97.8219986,anonymous,EN,0.1,Male,Yes,Yes,Yes,Married,English,$60000 - $150000,21-40,Republican,College degree,Native American,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,,,,,,,,,,6
7/24/20 22:47,7/24/20 22:49,IP Address,76.18.166.173,100,127,True,7/24/20 22:49,R_31gRBrLvTUIyoH9,,,,,37.20759583,-87.18060303,anonymous,EN,0.9,Female,Yes,Yes,Yes,Married,English,$60000 - $150000,21-40,Republican,College degree,Caucasian,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,,,,,,,,4
7/24/20 22:48,7/24/20 22:49,IP Address,172.93.161.71,100,81,True,7/24/20 22:49,R_6mzXR9bAS0WcNNf,,,,,40.78759766,-74.05999756,anonymous,EN,0.9,Female,Yes,Yes,Yes,Married,English,$60000 - $150000,21-40,Republican,Graduate degree,Native American,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,,,,,,,,,,,5
7/24/20 22:45,7/24/20 22:49,IP Address,154.13.61.126,100,271,True,7/24/20 22:49,R_2Cm5zr1vzY9e4fg,,,,,37.75100708,-97.8219986,anonymous,EN,0.9,Male,Yes,No,Yes,Single,English,< $60000,21-40,Republican,Graduate degree,Hispanic / Latinx,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,,,,,,,,,,,7
7/24/20 22:46,7/24/20 22:49,IP Address,174.128.236.106,100,220,True,7/24/20 22:49,R_22Q5a3t9AZ4JZeD,,,,,39.75010681,-104.995697,anonymous,EN,0.7,Male,Yes,Yes,Yes,Single,English,< $60000,21-40,Democrat,Graduate degree,Caucasian,Yes,,,,,,,,,,,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,7
7/24/20 22:43,7/24/20 22:49,IP Address,68.57.36.122,100,368,True,7/24/20 22:49,R_UWJ7u65ZUXrHXt7,,,,,37.06340027,-88.66320038,anonymous,EN,0.9,Male,Yes,Yes,Yes,Married,English,$60000 - $150000,21-40,Democrat,College degree,Caucasian,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,,,,,,,,,,,7
7/24/20 22:43,7/24/20 22:50,IP Address,38.91.100.123,100,401,True,7/24/20 22:50,R_11do6bSQWAWEXCq,,,,,40.72650146,-74.17819977,anonymous,EN,0.9,Male,Yes,No,Yes,Single,English,< $60000,21-40,Democrat,Some college,Hispanic / Latinx,Yes,,,,,,,,,,,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,7
7/24/20 22:45,7/24/20 22:50,IP Address,63.117.150.48,100,268,True,7/24/20 22:50,R_UPI4s1YLfwYzd9D,,,,,38.64379883,-77.3451004,anonymous,EN,0.9,Female,Yes,Yes,Yes,Married,English,$150000 - $250000,41-60,Democrat,College degree,Caucasian,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,,,,,,,,,,,9
7/24/20 22:46,7/24/20 22:50,IP Address,98.214.164.170,100,219,True,7/24/20 22:50,R_tJnzxXkGeEgTn9v,,,,,40.63209534,-89.69029999,anonymous,EN,0.1,Female,No,Yes,No,Married,English,$60000 - $150000,21-40,Democrat,Graduate degree,Caucasian,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,5
7/24/20 22:44,7/24/20 22:50,IP Address,108.196.136.202,100,333,True,7/24/20 22:50,R_xz5NkAQb75VzcxH,,,,,29.03819275,-95.44159698,anonymous,EN,0.9,Male,Yes,Yes,Yes,Married,English,> $250000,21-40,Democrat,High school graduate,Caucasian,Yes,,,,,,,,,,,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,7
7/24/20 22:46,7/24/20 22:50,IP Address,46.101.183.164,100,265,True,7/24/20 22:50,R_10xiLRcufVgbUsC,,,,,50.11880493,8.684295654,anonymous,EN,0.7,Female,Yes,Yes,Yes,Married,English,$60000 - $150000,41-60,Republican,Graduate degree,Caucasian,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,,,,,,,,,,,8
7/24/20 22:45,7/24/20 22:51,IP Address,198.228.133.208,100,303,True,7/24/20 22:51,R_1Kp3BqmkHYSMw36,,,,,34.17120361,-118.5186005,anonymous,EN,0.9,Female,Yes,Yes,Yes,Married,English,$60000 - $150000,21-40,Democrat,High school graduate,Caucasian,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,,,,,,,,,,,4
7/24/20 22:46,7/24/20 22:51,IP Address,108.51.79.162,100,270,True,7/24/20 22:51,R_2SkmBtZPJnckF2v,,,,,38.75909424,-77.0923996,anonymous,EN,0.7,Male,Yes,Yes,Yes,Married,English,$60000 - $150000,41-60,Democrat,College degree,Caucasian,Yes,,,,,,,,,,,No,Yes,No,No,Yes,No,No,No,Yes,No,4
7/24/20 22:45,7/24/20 22:51,IP Address,63.117.151.178,100,335,True,7/24/20 22:51,R_1fgaw5bTFllDTuO,,,,,40.78759766,-74.05999756,anonymous,EN,0.7,Male,Yes,Yes,Yes,Married,English,< $60000,61+,Democrat,Graduate degree,Native American,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,,,,,,,,,,,8
7/24/20 22:44,7/24/20 22:51,IP Address,38.68.40.89,100,441,True,7/24/20 22:51,R_3Gp8RPfkHGIxTGo,,,,,37.75100708,-97.8219986,anonymous,EN,0.9,Male,Yes,No,Yes,Married,English,< $60000,21-40,Democrat,College degree,Hispanic / Latinx,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,6
7/24/20 22:50,7/24/20 22:52,IP Address,64.137.80.146,100,147,True,7/24/20 22:52,R_3P5leYrY2pggwgF,,,,,37.75100708,-97.8219986,anonymous,EN,0.9,Female,Yes,Yes,Yes,Married,English,$60000 - $150000,21-40,Democrat,Graduate degree,Caucasian,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,6
7/24/20 22:46,7/24/20 22:52,IP Address,38.68.53.23,100,361,True,7/24/20 22:52,R_3KVGiTeUbgKFihL,,,,,37.75100708,-97.8219986,anonymous,EN,0.9,Male,Yes,Yes,Yes,Married,English,< $60000,21-40,Democrat,Graduate degree,Caucasian,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,,,,,,,,,,,8
7/24/20 22:47,7/24/20 22:53,IP Address,65.220.86.207,100,361,True,7/24/20 22:53,R_7VAfvvjrd3wjVrX,,,,,38.73320007,-77.54949951,anonymous,EN,0.9,Female,Yes,Yes,Yes,Married,English,< $60000,41-60,Democrat,Graduate degree,Caucasian,Yes,,,,,,,,,,,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,4
7/24/20 22:45,7/24/20 22:53,IP Address,196.17.64.107,100,473,True,7/24/20 22:53,R_1QFcfq2azifELSu,,,,,34.05439758,-118.2440033,anonymous,EN,0.3,Male,Yes,Yes,Yes,Married,English,$60000 - $150000,21-40,Republican,College degree,Caucasian,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,6
7/24/20 22:48,7/24/20 22:53,IP Address,23.127.5.162,100,314,True,7/24/20 22:53,R_Qgpe9YRNYIXcZWx,,,,,40.11039734,-83.11309814,anonymous,EN,0.9,Male,Yes,Yes,Yes,Married,English,< $60000,21-40,Other,College degree,Caucasian,Yes,,,,,,,,,,,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,7
7/24/20 22:45,7/24/20 22:54,IP Address,63.117.156.99,100,513,True,7/24/20 22:54,R_22G5w1WrozfNP4c,,,,,33.72239685,-84.52050018,anonymous,EN,0.7,Male,Yes,Yes,Yes,Married,English,< $60000,21-40,Democrat,College degree,Caucasian,Yes,,,,,,,,,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,5
7/24/20 22:53,7/24/20 22:54,IP Address,67.3.110.249,100,69,True,7/24/20 22:54,R_R36QLyLERbpgFwt,,,,,47.53419495,-92.53079987,anonymous,EN,0.9,Male,Yes,No,Yes,Single,English,< $60000,21-40,Republican,Some college,Native American,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,,,,,,,,,,,6
7/24/20 22:45,7/24/20 22:54,IP Address,198.228.80.103,100,537,True,7/24/20 22:54,R_205TpDcXnxcmwYV,,,,,37.75100708,-97.8219986,anonymous,EN,0.9,Female,Yes,No,Yes,Married,English,< $60000,61+,Republican,Graduate degree,Native American,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
7/24/20 22:44,7/24/20 22:54,IP Address,154.16.232.190,100,631,True,7/24/20 22:54,R_1i8KdOf2uBs9R5v,,,,,40.71569824,-74,anonymous,EN,0.3,Female,Yes,Yes,Yes,Single,English,< $60000,21-40,Republican,Graduate degree,Native American,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
7/24/20 22:53,7/24/20 22:55,IP Address,107.174.25.151,100,122,True,7/24/20 22:55,R_AI1v3GVLRZ1kgj7,,,,,37.75100708,-97.8219986,anonymous,EN,0.9,Female,Yes,Yes,Yes,Married,English,$60000 - $150000,41-60,Republican,College degree,Caucasian,Yes,,,,,,,,,,,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,5
7/24/20 22:45,7/24/20 22:56,IP Address,98.212.214.93,100,651,True,7/24/20 22:56,R_doguMM6vaEff87D,,,,,42.01280212,-88.09670258,anonymous,EN,0.9,Male,No,No,No,Single,Other,$60000 - $150000,21-40,Democrat,Graduate degree,Asian,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,,,,,,,,,,,7
