StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q38,Q39,Q37,Q40,Q36,Q3,Q4,Q5,Q6,Q7,8B,9B,10B,11B,12B,13B,14B,15B,16B,17B,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,SC0
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"Thank you for participating in this survey - we greatly appreciate it! The survey should take less than 10 minutes to complete. 



The first series of questions are solely for data analysis purposes. We will not collect any personally identifiable information and the survey is completely anonymous.





Which gender do you identify with?",Are you a registered voter?,Did you vote in the 2012 election?,Did you vote in the 2016 election?,What is your marital status ?,What is your primary language of communication?,What is your annual household income?,What is your age group?,What is your politicial affiliation?,What is your highest level of education?,What ethnicity do you identify as?,Do you consider yourself to be active on social media platforms?,"Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media. 



 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media. 









 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?",Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Score
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID46""}","{""ImportId"":""QID49""}","{""ImportId"":""QID45""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID18""}","{""ImportId"":""QID14""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""SC_0HSbxnqpbvZl5m5""}"
2020-07-25 20:18:27,2020-07-25 20:20:31,IP Address,47.196.110.241,100,124,True,2020-07-25 20:20:32,R_2zpQP14fLuuhfoW,,,,,27.944793701171875,-82.24089813232421875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,No,Yes,Single,English,< $60000,21-40,Democrat,High school graduate,Caucasian,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,9
2020-07-25 20:20:14,2020-07-25 20:21:01,IP Address,68.191.33.60,100,47,True,2020-07-25 20:21:01,R_2YGr5mSM9w5R549,,,,,41.3318939208984375,-73.23670196533203125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,No,No,Single,Spanish,> $250000,21-40,Democrat,High school graduate,Black / African,Yes,,,,,,,,,,,No,No,No,No,No,No,Yes,No,No,Yes,5
2020-07-25 20:21:00,2020-07-25 20:23:03,IP Address,136.24.243.198,100,122,True,2020-07-25 20:23:03,R_2OGVuLEQeP89B0y,,,,,37.7642059326171875,-122.39929962158203125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Single,English,< $60000,21-40,Democrat,College degree,Asian,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,,10
2020-07-25 20:23:24,2020-07-25 20:27:34,IP Address,76.91.179.34,100,250,True,2020-07-25 20:27:35,R_1IpizIjkU9jHhYL,,,,,34.0312957763671875,-118.31240081787109375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Single,English,$60000 - $150000,21-40,Democrat,Some college,Black / African,Yes,,,,,,,,,,,No,Yes,No,No,No,No,Yes,Yes,No,No,8
2020-07-25 20:30:35,2020-07-25 20:34:52,IP Address,73.189.103.206,100,256,True,2020-07-25 20:34:53,R_2uKyuFbRClKReQG,,,,,37.4774932861328125,-122.45050048828125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Married,English,$60000 - $150000,41-60,Democrat,College degree,Asian,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,,,,,,,,,,,7
2020-07-25 20:42:25,2020-07-25 20:45:25,IP Address,67.188.112.154,100,179,True,2020-07-25 20:45:25,R_1nTTrweksgEQjuh,,,,,37.3896942138671875,-122.08319854736328125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,No,Yes,Single,English,$150000 - $250000,21-40,Democrat,College degree,Caucasian,Yes,,,,,,,,,,,Yes,Yes,No,No,Yes,No,Yes,No,No,No,7
2020-07-25 20:48:32,2020-07-25 20:52:04,IP Address,96.60.79.133,100,211,True,2020-07-25 20:52:04,R_1fiO4cVAAgS0Obi,,,,,46.572998046875,-122.7075042724609375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Divorced,English,< $60000,61+,Democrat,High school graduate,Caucasian,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,,,,,,,,,,,8
2020-07-25 20:54:26,2020-07-25 20:59:58,IP Address,100.12.192.32,100,331,True,2020-07-25 20:59:58,R_b2heThonM5pTje9,,,,,40.7364044189453125,-73.86949920654296875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Single,English,< $60000,21-40,Democrat,Graduate degree,Asian,Yes,,,,,,,,,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,9
2020-07-25 21:06:58,2020-07-25 21:08:54,IP Address,142.129.18.134,100,116,True,2020-07-25 21:08:54,R_1DNFaKfRHWB5Rc9,,,,,34.096405029296875,-117.96820068359375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Single,English,< $60000,21-40,Democrat,Some college,Asian,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,,9
2020-07-25 21:06:12,2020-07-25 21:12:13,IP Address,216.164.112.118,100,361,True,2020-07-25 21:12:13,R_3EiiyeObeP1HZ2R,,,,,40.6985931396484375,-75.4833984375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,No,Yes,Single,English,< $60000,21-40,Republican,Some college,Caucasian,Yes,,,,,,,,,,,Yes,Yes,No,Yes,No,No,Yes,No,No,No,9
2020-07-25 21:12:10,2020-07-25 21:14:20,IP Address,173.53.75.38,100,129,True,2020-07-25 21:14:20,R_bHoZsihqHWID71f,,,,,37.6652984619140625,-77.53639984130859375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Single,English,< $60000,21-40,Democrat,Graduate degree,Caucasian,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,,,,,,,,,,,7
